       D_1      total
    0.2548     0.2548
    0.2510     0.2510
    0.3475     0.3475
    0.2664     0.2664
    0.2780     0.2780
    0.2780     0.2780
    0.3089     0.3089
    0.3938     0.3938
    0.4093     0.4093
    0.4208     0.4208
    0.4208     0.4208
    0.4170     0.4170
    0.3822     0.3822
    0.3629     0.3629
    0.3861     0.3861
    0.3089     0.3089
    0.3436     0.3436
    0.3591     0.3591
    0.3861     0.3861
    0.2819     0.2819
    0.2819     0.2819
    0.3591     0.3591
    0.3243     0.3243
    0.3127     0.3127
    0.3320     0.3320
    0.3552     0.3552
    0.2934     0.2934
    0.3012     0.3012
    0.2664     0.2664
    0.2548     0.2548
    0.2973     0.2973
    0.2819     0.2819
    0.2432     0.2432
    0.3436     0.3436
    0.3205     0.3205
    0.3205     0.3205
    0.3436     0.3436
    0.3784     0.3784
    0.3900     0.3900
    0.4093     0.4093
    0.4054     0.4054
    0.3436     0.3436
    0.3475     0.3475
    0.4324     0.4324
    0.4054     0.4054
    0.3938     0.3938
    0.4479     0.4479
    0.5058     0.5058
    0.4981     0.4981
    0.5058     0.5058
    0.5444     0.5444
    0.4556     0.4556
    0.5058     0.5058
    0.5174     0.5174
    0.4942     0.4942
    0.4865     0.4865
    0.5483     0.5483
    0.5830     0.5830
    0.5830     0.5830
    0.5328     0.5328
    0.5290     0.5290
    0.6023     0.6023
    0.5290     0.5290
    0.5676     0.5676
    0.5637     0.5637
    0.5714     0.5714
    0.6100     0.6100
    0.6757     0.6757
    0.6564     0.6564
    0.6062     0.6062
    0.6409     0.6409
    0.7104     0.7104
    0.6641     0.6641
    0.6795     0.6795
    0.5985     0.5985
    0.6873     0.6873
    0.6216     0.6216
    0.6371     0.6371
    0.6100     0.6100
    0.6255     0.6255
    0.6448     0.6448
    0.6409     0.6409
    0.6564     0.6564
    0.5907     0.5907
    0.6409     0.6409
    0.7066     0.7066
    0.6795     0.6795
    0.6293     0.6293
    0.6178     0.6178
    0.6795     0.6795
    0.6834     0.6834
    0.7336     0.7336
    0.6602     0.6602
    0.8069     0.8069
    0.7452     0.7452
    0.7838     0.7838
    0.8069     0.8069
    0.8031     0.8031
    0.8803     0.8803
    0.8340     0.8340
    0.8263     0.8263
    0.8340     0.8340
    0.7683     0.7683
    0.8803     0.8803
    0.8301     0.8301
    0.8263     0.8263
    0.8301     0.8301
    0.7954     0.7954
    0.8571     0.8571
    0.8571     0.8571
    0.8803     0.8803
    0.8726     0.8726
    0.8726     0.8726
    0.8958     0.8958
    0.8378     0.8378
    0.8378     0.8378
    0.8958     0.8958
    0.9073     0.9073
    0.8764     0.8764
    0.8456     0.8456
    0.8494     0.8494
    0.8610     0.8610
    0.8803     0.8803
    0.8494     0.8494
    0.8069     0.8069
    0.8842     0.8842
    0.7606     0.7606
    0.8031     0.8031
    0.8533     0.8533
    0.8340     0.8340
    0.8263     0.8263
    0.8610     0.8610
    0.8610     0.8610
    0.8456     0.8456
    0.8263     0.8263
    0.7722     0.7722
    0.7413     0.7413
    0.7375     0.7375
    0.7297     0.7297
    0.7992     0.7992
    0.7992     0.7992
    0.8069     0.8069
    0.8456     0.8456
    0.8649     0.8649
    0.8726     0.8726
    0.8533     0.8533
    0.7954     0.7954
    0.8919     0.8919
    0.8340     0.8340
    0.8340     0.8340
    0.8185     0.8185
    0.8764     0.8764
    0.8456     0.8456
    0.8417     0.8417
    0.8533     0.8533
    0.8108     0.8108
    0.7529     0.7529
    0.7915     0.7915
    0.7104     0.7104
    0.7568     0.7568
    0.7220     0.7220
    0.7876     0.7876
    0.7336     0.7336
    0.7220     0.7220
    0.7297     0.7297
    0.7838     0.7838
    0.7413     0.7413
    0.7220     0.7220
    0.7722     0.7722
    0.6873     0.6873
    0.7143     0.7143
    0.6834     0.6834
    0.7915     0.7915
    0.8224     0.8224
    0.9035     0.9035
    0.8958     0.8958
    0.8996     0.8996
    0.8571     0.8571
    0.8919     0.8919
    0.8996     0.8996
    0.8803     0.8803
    0.9035     0.9035
    0.9189     0.9189
    0.8649     0.8649
    0.8842     0.8842
    0.8842     0.8842
    0.8880     0.8880
    0.8649     0.8649
    0.8417     0.8417
    0.9189     0.9189
    0.8880     0.8880
    0.9035     0.9035
    0.9151     0.9151
    0.8919     0.8919
    0.8919     0.8919
    0.9421     0.9421
    0.8649     0.8649
    0.8764     0.8764
    0.9112     0.9112
    0.9035     0.9035
    0.8803     0.8803
    0.8842     0.8842
    0.9228     0.9228
    0.9035     0.9035
    0.9151     0.9151
    0.8571     0.8571
    0.8494     0.8494
    0.9073     0.9073
    0.9266     0.9266
    0.9035     0.9035
    0.9305     0.9305
    0.9344     0.9344
    0.8610     0.8610
    0.9228     0.9228
    0.9151     0.9151
    0.8687     0.8687
    0.8494     0.8494
    0.8803     0.8803
    0.8996     0.8996
    0.9189     0.9189
    0.9073     0.9073
    0.9344     0.9344
    0.9151     0.9151
    0.9073     0.9073
    0.9112     0.9112
    0.8880     0.8880
    0.9073     0.9073
    0.9151     0.9151
    0.9112     0.9112
    0.9266     0.9266
    0.9151     0.9151
    0.9614     0.9614
    0.9382     0.9382
    0.9073     0.9073
    0.9575     0.9575
    0.9459     0.9459
    0.9614     0.9614
    0.9151     0.9151
    0.9768     0.9768
    0.9421     0.9421
    0.9382     0.9382
    0.9498     0.9498
    0.9614     0.9614
    0.9730     0.9730
    0.9382     0.9382
    0.9459     0.9459
    0.9537     0.9537
    0.8996     0.8996
    0.8803     0.8803
    0.9151     0.9151
    0.8996     0.8996
    0.9228     0.9228
    0.9459     0.9459
    0.9112     0.9112
    0.9189     0.9189
    0.9305     0.9305
    0.9305     0.9305
    0.9382     0.9382
    0.9653     0.9653
    0.9691     0.9691
    0.9382     0.9382
    0.9228     0.9228
    0.9344     0.9344
    0.9730     0.9730
    0.9691     0.9691
    0.9421     0.9421
    0.8958     0.8958
    0.9266     0.9266
    0.9073     0.9073
    0.8958     0.8958
    0.9266     0.9266
    0.9266     0.9266
    0.9189     0.9189
    0.9035     0.9035
    0.8649     0.8649
    0.9035     0.9035
    0.8919     0.8919
    0.8996     0.8996
    0.8726     0.8726
    0.8919     0.8919
    0.9073     0.9073
    0.8803     0.8803
    0.8649     0.8649
    0.9344     0.9344
    0.8726     0.8726
    0.8456     0.8456
    0.8378     0.8378
