       D_1      total
    0.6641     0.6641
    0.6680     0.6680
    0.6486     0.6486
    0.6757     0.6757
    0.5946     0.5946
    0.5792     0.5792
    0.6293     0.6293
    0.7220     0.7220
    0.6757     0.6757
    0.7143     0.7143
    0.7259     0.7259
    0.7104     0.7104
    0.7606     0.7606
    0.7645     0.7645
    0.7683     0.7683
    0.7490     0.7490
    0.7259     0.7259
    0.6602     0.6602
    0.7220     0.7220
    0.7336     0.7336
    0.7143     0.7143
    0.7722     0.7722
    0.7490     0.7490
    0.7375     0.7375
    0.7375     0.7375
    0.6950     0.6950
    0.7027     0.7027
    0.7104     0.7104
    0.7606     0.7606
    0.6757     0.6757
    0.7104     0.7104
    0.6988     0.6988
    0.7452     0.7452
    0.7799     0.7799
    0.7143     0.7143
    0.7066     0.7066
    0.7066     0.7066
    0.7915     0.7915
    0.6988     0.6988
    0.7413     0.7413
    0.7954     0.7954
    0.6950     0.6950
    0.7490     0.7490
    0.7336     0.7336
    0.7529     0.7529
    0.7529     0.7529
    0.7375     0.7375
    0.6873     0.6873
    0.7143     0.7143
    0.7259     0.7259
    0.6795     0.6795
    0.6988     0.6988
    0.6873     0.6873
    0.6371     0.6371
    0.7181     0.7181
    0.6988     0.6988
    0.6564     0.6564
    0.7297     0.7297
    0.7104     0.7104
    0.7799     0.7799
    0.6988     0.6988
    0.6564     0.6564
    0.7529     0.7529
    0.7452     0.7452
    0.7799     0.7799
    0.7066     0.7066
    0.7297     0.7297
    0.7490     0.7490
    0.7838     0.7838
    0.7490     0.7490
    0.7490     0.7490
    0.7336     0.7336
    0.7413     0.7413
    0.7259     0.7259
    0.7915     0.7915
    0.7606     0.7606
    0.8263     0.8263
    0.7683     0.7683
    0.8147     0.8147
    0.7375     0.7375
    0.8069     0.8069
    0.7104     0.7104
    0.7529     0.7529
    0.7490     0.7490
    0.7181     0.7181
    0.7181     0.7181
    0.6757     0.6757
    0.6873     0.6873
    0.7181     0.7181
    0.6486     0.6486
    0.6911     0.6911
    0.6293     0.6293
    0.7181     0.7181
    0.7259     0.7259
    0.7838     0.7838
    0.7336     0.7336
    0.7220     0.7220
    0.7027     0.7027
    0.7259     0.7259
    0.6911     0.6911
    0.6795     0.6795
    0.7336     0.7336
    0.7413     0.7413
    0.6371     0.6371
    0.6757     0.6757
    0.6680     0.6680
    0.6139     0.6139
    0.6873     0.6873
    0.6834     0.6834
    0.6448     0.6448
    0.6448     0.6448
    0.6834     0.6834
    0.6332     0.6332
    0.6371     0.6371
    0.6448     0.6448
    0.6795     0.6795
    0.6757     0.6757
    0.6950     0.6950
    0.7181     0.7181
    0.7375     0.7375
    0.7799     0.7799
    0.7297     0.7297
    0.6718     0.6718
    0.7413     0.7413
    0.6911     0.6911
    0.7220     0.7220
    0.7606     0.7606
    0.7761     0.7761
    0.6757     0.6757
    0.7181     0.7181
    0.7143     0.7143
    0.6873     0.6873
    0.7027     0.7027
    0.7027     0.7027
    0.6911     0.6911
    0.7066     0.7066
    0.7413     0.7413
    0.7529     0.7529
    0.6795     0.6795
    0.7413     0.7413
    0.7375     0.7375
    0.6680     0.6680
    0.7220     0.7220
    0.6911     0.6911
    0.7027     0.7027
    0.7413     0.7413
    0.7452     0.7452
    0.7490     0.7490
    0.7066     0.7066
    0.6525     0.6525
    0.6911     0.6911
    0.7452     0.7452
    0.6680     0.6680
    0.6371     0.6371
    0.7027     0.7027
    0.7375     0.7375
    0.7143     0.7143
    0.7761     0.7761
    0.8147     0.8147
    0.7722     0.7722
    0.7683     0.7683
    0.7683     0.7683
    0.7722     0.7722
    0.7722     0.7722
    0.8069     0.8069
    0.8185     0.8185
    0.7876     0.7876
    0.7876     0.7876
    0.7954     0.7954
    0.7220     0.7220
    0.7259     0.7259
    0.7220     0.7220
    0.7452     0.7452
    0.6911     0.6911
    0.7143     0.7143
    0.7259     0.7259
    0.7799     0.7799
    0.7876     0.7876
    0.7297     0.7297
    0.7761     0.7761
    0.7606     0.7606
    0.7838     0.7838
    0.7452     0.7452
    0.6718     0.6718
    0.7027     0.7027
    0.7722     0.7722
    0.7490     0.7490
    0.7181     0.7181
    0.7838     0.7838
    0.7761     0.7761
    0.7066     0.7066
    0.7606     0.7606
    0.7375     0.7375
    0.6988     0.6988
    0.7452     0.7452
    0.7066     0.7066
    0.7027     0.7027
    0.7220     0.7220
    0.7529     0.7529
    0.6100     0.6100
    0.6486     0.6486
    0.7066     0.7066
    0.7220     0.7220
    0.7529     0.7529
    0.7722     0.7722
    0.6950     0.6950
    0.7104     0.7104
    0.7181     0.7181
    0.6873     0.6873
    0.6950     0.6950
    0.6911     0.6911
    0.7143     0.7143
    0.7066     0.7066
    0.7143     0.7143
    0.7104     0.7104
    0.7027     0.7027
    0.7143     0.7143
    0.6873     0.6873
    0.7143     0.7143
    0.7568     0.7568
    0.6525     0.6525
    0.6602     0.6602
    0.7336     0.7336
    0.6718     0.6718
    0.7799     0.7799
    0.7413     0.7413
    0.7066     0.7066
    0.7336     0.7336
    0.7683     0.7683
    0.6873     0.6873
    0.7413     0.7413
    0.7143     0.7143
    0.7606     0.7606
    0.7606     0.7606
    0.7297     0.7297
    0.7220     0.7220
    0.7761     0.7761
