# state, mean, stderr, ci_lower, ci_upper, variant
0,8.000729920029707,0.039930697800270185,7.92327104035759,8.077438019011813,fast
1,4.88786446741335,0.026681228830191254,4.835288679527225,4.9394464830150975,fast
2,4.506869157351961,0.03498698817250369,4.437837656027086,4.574556641996782,fast
3,4.693638273672138,0.029548784164417374,4.636365928105521,4.752350750333713,fast
4,4.472455055494978,0.012814241375702834,4.447537049192618,4.49719264653694,fast
5,4.013832698079379,0.005029837793124743,4.004093326210191,4.0237812419277965,fast
0,7.597971595501784,0.05152382841458848,7.496330329420717,7.700942329418785,slow
1,5.677026850193853,0.034804375592786665,5.609965638758642,5.746356497536642,slow
2,3.885033593082321,1.3323342479280854e-15,3.885033593082321,3.885033593082321,slow
3,4.869313505282061,0.049817837024740935,4.769325451413333,4.966790606231821,slow
4,4.077125802456394,0.011195959579353206,4.055757862807733,4.099345583159432,slow
5,4.023484618962863,0.004588512957315376,4.014513342844997,4.032557630596242,slow
0,8.054451717926813,0.048447044449226866,7.960668730848078,8.150541253431392,wt
1,4.241807624241089,0.025651139973683238,4.191242228628123,4.291907961949501,wt
2,4.165349460633118,0.039611373693103503,4.087254093255858,4.2428581226710556,wt
3,4.8134713705599,0.05085573548206088,4.713636194656242,4.915734886182455,wt
4,4.130075409945447,0.00801725312283006,4.114208735338611,4.145636742787085,wt
5,3.985408418480644,0.005332083345840446,3.9750655343583947,3.9958644417689664,wt
0,7.919832317229569,0.026220620258099344,7.868276579840093,7.971477230114593,total
1,4.790635811295781,0.016570130363994413,4.7582386233486025,4.823012532066526,total
2,4.370199095107997,0.02618201906262183,4.319487235588842,4.42160439008261,total
3,4.758300163098204,0.02309222729778566,4.713278846238831,4.803489530048342,total
4,4.216981860594433,0.005959615890856966,4.205318348809734,4.228759644555187,total
5,4.009307283585915,0.002923578954988135,4.003547085306105,4.01497751424503,total
