# state, mean, stderr, ci_lower, ci_upper, variant
0,8.308942363833559,0.04093416517155756,8.228298913452237,8.389189716893855,fast
1,8.388250470375137,0.04211119776035141,8.304578837740255,8.471420243290012,fast
2,3.303696027966315,0.05869947063525343,3.1874929976605344,3.418894258473061,fast
3,-0.05355612614525654,0.05446114701440554,-0.15979559352000236,0.0540666909892809,fast
4,5.666691549598656,0.015008961780001731,5.637004029621378,5.695768349574289,fast
5,5.609307393653265,0.0074955635763341785,5.594831796198349,5.623825093669502,fast
0,8.672328585963756,0.054448302572366554,8.562320054326374,8.777958432034053,slow
1,8.908505226733187,0.05195739043185934,8.806458827730712,9.009187382599928,slow
2,-3.169958672889872,4.441114159760284e-16,-3.169958672889872,-3.169958672889872,slow
3,-1.8954247344920445,0.07677028599960821,-2.0432388196068514,-1.7433198565245034,slow
4,5.971014558344834,0.01551469101396629,5.94103753222236,6.001532363744572,slow
5,5.722943239075672,0.0067790045322661,5.709854411238794,5.736479057694457,slow
0,8.03696682562254,0.04940701253871263,7.93954036700175,8.133369001443745,wt
1,8.209416253266053,0.03971813553666593,8.131019660049743,8.285578105770428,wt
2,4.027412655621235,0.06554770755196271,3.897931954629753,4.1553772222903005,wt
3,-2.0492787047963583,0.07602749606936131,-2.1990844786517045,-1.9031086303501397,wt
4,5.302152188648536,0.012893311233815798,5.276692250784947,5.326877459311508,wt
5,5.6711627984996085,0.007804516947725354,5.655750098750632,5.686480549623729,wt
0,8.312194414416814,0.027181864902697108,8.25909825361312,8.365519624112519,total
1,8.430836806989632,0.02520609961087946,8.381703824662251,8.480381544457057,total
2,3.5925353135581974,0.04390705433359792,3.5069915510749268,3.678665526337921,total
3,-0.8925253698805664,0.039408743493915384,-0.9704518362090809,-0.8147255510815137,total
4,5.566312842102932,0.008386736804619516,5.549986863514338,5.58270440640021,total
5,5.6711751288605745,0.0042141410991021425,5.662880306590536,5.679365770631453,total
