       D_1      total
    0.6578     0.6578
    0.6533     0.6533
    0.6622     0.6622
    0.6267     0.6267
    0.7111     0.7111
    0.6089     0.6089
    0.6400     0.6400
    0.6889     0.6889
    0.6133     0.6133
    0.6933     0.6933
    0.6889     0.6889
    0.7067     0.7067
    0.6978     0.6978
    0.6978     0.6978
    0.6444     0.6444
    0.6711     0.6711
    0.7333     0.7333
    0.6978     0.6978
    0.7244     0.7244
    0.7022     0.7022
    0.6978     0.6978
    0.7200     0.7200
    0.7289     0.7289
    0.6756     0.6756
    0.6667     0.6667
    0.7111     0.7111
    0.6400     0.6400
    0.6844     0.6844
    0.6756     0.6756
    0.6533     0.6533
    0.6756     0.6756
    0.6533     0.6533
    0.6978     0.6978
    0.6978     0.6978
    0.6933     0.6933
    0.6756     0.6756
    0.6800     0.6800
    0.6667     0.6667
    0.6667     0.6667
    0.7289     0.7289
    0.6578     0.6578
    0.6711     0.6711
    0.7022     0.7022
    0.6800     0.6800
    0.6844     0.6844
    0.6578     0.6578
    0.6578     0.6578
    0.7200     0.7200
    0.6933     0.6933
    0.6844     0.6844
    0.6978     0.6978
    0.6844     0.6844
    0.6533     0.6533
    0.6578     0.6578
    0.6222     0.6222
    0.6978     0.6978
    0.6444     0.6444
    0.6667     0.6667
    0.7111     0.7111
    0.6756     0.6756
    0.6622     0.6622
    0.6800     0.6800
    0.6978     0.6978
    0.6667     0.6667
    0.7644     0.7644
    0.6711     0.6711
    0.6622     0.6622
    0.7156     0.7156
    0.6400     0.6400
    0.7067     0.7067
    0.6889     0.6889
    0.6578     0.6578
    0.6800     0.6800
    0.6578     0.6578
    0.7111     0.7111
    0.7200     0.7200
    0.6844     0.6844
    0.6978     0.6978
    0.6622     0.6622
    0.6222     0.6222
    0.6578     0.6578
    0.6444     0.6444
    0.6933     0.6933
    0.7244     0.7244
    0.6889     0.6889
    0.6578     0.6578
    0.7111     0.7111
    0.6622     0.6622
    0.6444     0.6444
    0.6578     0.6578
    0.6533     0.6533
    0.6889     0.6889
    0.6711     0.6711
    0.6400     0.6400
    0.7200     0.7200
    0.7156     0.7156
    0.6844     0.6844
    0.7067     0.7067
    0.6844     0.6844
    0.7333     0.7333
    0.6933     0.6933
    0.6978     0.6978
    0.6444     0.6444
    0.6978     0.6978
    0.6622     0.6622
    0.6711     0.6711
    0.6356     0.6356
    0.7111     0.7111
    0.7244     0.7244
    0.6622     0.6622
    0.7333     0.7333
    0.6889     0.6889
    0.7289     0.7289
    0.7200     0.7200
    0.6889     0.6889
    0.7022     0.7022
    0.6889     0.6889
    0.6400     0.6400
    0.7289     0.7289
    0.7333     0.7333
    0.6978     0.6978
    0.6711     0.6711
    0.7644     0.7644
    0.7200     0.7200
    0.6844     0.6844
    0.7156     0.7156
    0.7244     0.7244
    0.6889     0.6889
    0.6444     0.6444
    0.7067     0.7067
    0.6889     0.6889
    0.6978     0.6978
    0.6533     0.6533
    0.6800     0.6800
    0.6533     0.6533
    0.6222     0.6222
    0.6356     0.6356
    0.6222     0.6222
    0.6444     0.6444
    0.6578     0.6578
    0.6667     0.6667
    0.5911     0.5911
    0.6400     0.6400
    0.6444     0.6444
    0.6400     0.6400
    0.6667     0.6667
    0.6756     0.6756
    0.7022     0.7022
    0.6578     0.6578
    0.6578     0.6578
    0.6667     0.6667
    0.6844     0.6844
    0.6800     0.6800
    0.6800     0.6800
    0.6844     0.6844
    0.6711     0.6711
    0.7111     0.7111
    0.7244     0.7244
    0.7467     0.7467
    0.6933     0.6933
    0.7422     0.7422
    0.6667     0.6667
    0.6978     0.6978
    0.6889     0.6889
    0.6533     0.6533
    0.7600     0.7600
    0.7022     0.7022
    0.7333     0.7333
    0.6933     0.6933
    0.7067     0.7067
    0.7289     0.7289
    0.6711     0.6711
    0.6844     0.6844
    0.7022     0.7022
    0.7244     0.7244
    0.7200     0.7200
    0.6756     0.6756
    0.6933     0.6933
    0.6844     0.6844
    0.6978     0.6978
    0.7511     0.7511
    0.6800     0.6800
    0.6489     0.6489
    0.6356     0.6356
    0.6800     0.6800
    0.6933     0.6933
    0.7200     0.7200
    0.6800     0.6800
    0.6667     0.6667
    0.6800     0.6800
    0.7156     0.7156
    0.6978     0.6978
    0.7467     0.7467
    0.6889     0.6889
    0.6889     0.6889
    0.6622     0.6622
    0.7022     0.7022
    0.6222     0.6222
    0.6889     0.6889
    0.7156     0.7156
    0.6978     0.6978
    0.7156     0.7156
    0.7022     0.7022
    0.7244     0.7244
    0.6978     0.6978
    0.7022     0.7022
    0.7244     0.7244
    0.7156     0.7156
    0.7067     0.7067
    0.7111     0.7111
    0.6889     0.6889
    0.7022     0.7022
    0.6667     0.6667
    0.7067     0.7067
    0.6711     0.6711
    0.6889     0.6889
    0.7200     0.7200
    0.6844     0.6844
    0.7289     0.7289
    0.7022     0.7022
    0.7156     0.7156
    0.6756     0.6756
    0.6933     0.6933
    0.6533     0.6533
    0.6444     0.6444
    0.6578     0.6578
    0.7333     0.7333
    0.6667     0.6667
    0.6489     0.6489
    0.6978     0.6978
    0.6489     0.6489
    0.7111     0.7111
    0.6711     0.6711
    0.6844     0.6844
    0.7200     0.7200
    0.7067     0.7067
    0.7111     0.7111
    0.7378     0.7378
    0.7467     0.7467
    0.6978     0.6978
    0.7067     0.7067
    0.7467     0.7467
    0.6622     0.6622
    0.7067     0.7067
    0.6889     0.6889
    0.7156     0.7156
    0.6622     0.6622
    0.6978     0.6978
    0.7156     0.7156
    0.7644     0.7644
    0.7022     0.7022
    0.7156     0.7156
    0.6489     0.6489
    0.7200     0.7200
    0.6444     0.6444
    0.6756     0.6756
    0.7067     0.7067
    0.7244     0.7244
    0.7022     0.7022
    0.7156     0.7156
    0.6889     0.6889
    0.6889     0.6889
    0.6711     0.6711
    0.6578     0.6578
    0.6844     0.6844
    0.6578     0.6578
    0.6400     0.6400
    0.6489     0.6489
    0.6933     0.6933
    0.7067     0.7067
    0.6800     0.6800
    0.6978     0.6978
    0.6889     0.6889
    0.6844     0.6844
    0.7689     0.7689
    0.7333     0.7333
    0.7422     0.7422
    0.7511     0.7511
    0.7156     0.7156
    0.7200     0.7200
    0.6933     0.6933
    0.6533     0.6533
    0.6711     0.6711
    0.6667     0.6667
    0.7067     0.7067
    0.7067     0.7067
    0.6756     0.6756
    0.6578     0.6578
    0.6533     0.6533
    0.6444     0.6444
    0.6578     0.6578
    0.6178     0.6178
    0.6533     0.6533
    0.7200     0.7200
    0.6889     0.6889
    0.6933     0.6933
    0.6711     0.6711
    0.6356     0.6356
    0.6356     0.6356
    0.7422     0.7422
    0.7022     0.7022
    0.6667     0.6667
    0.7244     0.7244
    0.6622     0.6622
    0.6622     0.6622
    0.7111     0.7111
    0.6933     0.6933
    0.7200     0.7200
    0.6267     0.6267
    0.6800     0.6800
    0.6844     0.6844
    0.6400     0.6400
    0.7022     0.7022
    0.6667     0.6667
    0.6622     0.6622
    0.6533     0.6533
    0.6756     0.6756
    0.7200     0.7200
    0.7022     0.7022
    0.6844     0.6844
    0.6489     0.6489
    0.7422     0.7422
    0.6711     0.6711
    0.6267     0.6267
    0.7067     0.7067
    0.7200     0.7200
    0.6711     0.6711
    0.6933     0.6933
    0.7333     0.7333
    0.7289     0.7289
    0.7067     0.7067
    0.7422     0.7422
    0.7378     0.7378
    0.6844     0.6844
    0.7022     0.7022
    0.6489     0.6489
    0.7067     0.7067
    0.7200     0.7200
    0.7022     0.7022
    0.7022     0.7022
    0.7200     0.7200
    0.6711     0.6711
    0.7111     0.7111
    0.7333     0.7333
    0.6889     0.6889
    0.7111     0.7111
    0.6800     0.6800
    0.7422     0.7422
    0.7156     0.7156
    0.6578     0.6578
    0.7156     0.7156
    0.6889     0.6889
    0.6489     0.6489
    0.6711     0.6711
    0.6756     0.6756
    0.7244     0.7244
    0.6711     0.6711
    0.7067     0.7067
    0.7156     0.7156
    0.7244     0.7244
    0.6844     0.6844
    0.6489     0.6489
    0.6889     0.6889
    0.6578     0.6578
    0.6933     0.6933
    0.6133     0.6133
    0.6311     0.6311
    0.5911     0.5911
    0.6267     0.6267
    0.6889     0.6889
    0.6400     0.6400
    0.7067     0.7067
    0.6667     0.6667
    0.6489     0.6489
    0.6622     0.6622
    0.6889     0.6889
    0.7022     0.7022
    0.7067     0.7067
    0.6844     0.6844
    0.7200     0.7200
    0.6933     0.6933
    0.6667     0.6667
    0.7156     0.7156
    0.7244     0.7244
    0.6800     0.6800
    0.6533     0.6533
    0.6800     0.6800
    0.6844     0.6844
    0.7111     0.7111
    0.6800     0.6800
    0.6933     0.6933
    0.6889     0.6889
    0.6400     0.6400
    0.6444     0.6444
    0.6711     0.6711
    0.7022     0.7022
    0.6756     0.6756
    0.7067     0.7067
    0.7156     0.7156
    0.6533     0.6533
    0.7244     0.7244
    0.7289     0.7289
    0.6933     0.6933
    0.6444     0.6444
    0.6756     0.6756
